SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM15;Seagrass;Posidonia oceanica;69.35507514;70.48155246;796.6;1.00054966;3.612281758;1.2275258;69.9183138;2.2658176;0.027828784
Santa Maria;SM15;Seagrass;Posidonia oceanica;71.60198178;72.7166523;940.75;0.977769004;2.972917939;1.3525285;72.15931704;2.24100324;0.029636381
Santa Maria;SM15;Seagrass;Posidonia oceanica;73.82583941;74.92980531;1037.55;0.952179054;3.225806452;1.2713546;74.37782236;2.21850532;0.026856276
Santa Maria;SM15;Seagrass;Posidonia oceanica;76.02879968;77.12306025;1085.75;0.830314517;2.248690831;1.2370434;76.57592997;2.198107605;0.022577535
Santa Maria;SM15;Seagrass;Posidonia oceanica;78.21281339;79.29827464;1117.95;0.835836888;2.947175199;1.0673899;78.75554402;2.17961405;0.019445729
Santa Maria;SM15;Seagrass;Posidonia oceanica;80.37964922;81.45713256;1147.45;1.12444808;2.867198013;0.8896081;80.91839089;2.162846875;0.021635349
Santa Maria;SM15;Seagrass;Posidonia oceanica;82.53091074;83.60116093;1176.5;1.014305142;2.99803577;1.0512361;83.06603584;2.147644945;0.022899784
Santa Maria;SM15;Seagrass;Posidonia oceanica;84.66805183;85.73174409;1195.6;0.512082053;2.806620746;1.0446061;85.19989796;2.133862125;0.011414541
Santa Maria;SM15;Seagrass;Posidonia oceanica;86.79239066;87.85013717;1214.1;1.02215374;3.41617982;0.9999522;87.32126392;2.121365955;0.021682585
Santa Maria;SM15;Seagrass;Posidonia oceanica;88.90512231;89.95747813;1233;0.794186286;3.213262382;1.1142673;89.43130022;2.110036305;0.018672467
Santa Maria;SM15;Seagrass;Posidonia oceanica;91.00733034;92.05479869;1259.6;1.063039044;2.914955424;0.8884462;91.53106452;2.099764295;0.019831287
Santa Maria;SM15;Seagrass;Posidonia oceanica;93.09999714;94.14303426;1289.2;0.967024696;2.658788774;1.1354211;93.6215157;2.090451185;0.022952741
Santa Maria;SM15;Seagrass;Posidonia oceanica;95.1840134;96.22303296;1323;0.946886973;2.997112417;1.1578713;95.70352318;2.08200748;0.022826573
Santa Maria;SM15;Seagrass;Posidonia oceanica;97.26018664;98.29556368;1369.2;1.156005391;3.463203463;1.4031611;97.77787516;2.07435198;0.033647271
Santa Maria;SM15;Seagrass;Posidonia oceanica;99.32924903;100.3613236;1414.15;0.722014027;3.054435484;1.3629499;99.84528632;2.067411155;0.020344751
Santa Maria;SM15;Seagrass;Posidonia oceanica;101.3918644;102.4209447;1460.7;0.921255399;;1.5463897;101.9064046;2.061118235;0.0293631
Santa Maria;SM15;Seagrass;Posidonia oceanica;103.4486345;104.4750002;1507.8;0.806197581;3.160133698;1.3645732;103.9618174;2.0554128;0.022611917
Santa Maria;SM15;Seagrass;Posidonia oceanica;105.5001051;106.5240095;1566.1;0.766217764;2.556558791;1.1069074;106.0120573;2.05023995;0.017388743
Santa Maria;SM15;Seagrass;Posidonia oceanica;107.5467708;108.5684437;1596.9;1.088535485;1.661569827;1.0066645;108.0576073;2.04554995;0.022414932
Santa Maria;SM15;Seagrass;Posidonia oceanica;109.5890803;110.60873;1625.75;1.218039956;1.964057743;0.9499612;110.0989052;2.0412979;0.023619668
Santa Maria;SM15;Seagrass;Posidonia oceanica;111.6274401;112.6452555;1648.2;1.197483687;2.977692541;0.8676505;112.1363478;2.03744265;0.021168975
Santa Maria;SM15;Seagrass;Posidonia oceanica;113.6622189;114.6783712;1670.8;1.036208937;2.212082135;1.0365024;114.1702951;2.03394725;0.021845266
Santa Maria;SM15;Seagrass;Posidonia oceanica;115.6937512;116.7083956;1692.35;1.03863147;2.748796148;0.9141543;116.2010734;2.03077835;0.01928162
Santa Maria;SM15;Seagrass;Posidonia oceanica;117.7223398;118.7356172;1713.65;1.190924267;2.336680919;0.9226222;118.2289785;2.0279051;0.022282077
Santa Maria;SM15;Seagrass;Posidonia oceanica;119.7482597;120.7602977;1735.3;1.320060457;2.393927598;1.057595;120.2542787;2.0253002;0.028275
Santa Maria;SM15;Seagrass;Posidonia oceanica;121.7717599;122.7826741;1757.8;1.075337433;1.792347697;1.0130509;122.277217;2.0229383;0.022037314
Santa Maria;SM15;Seagrass;Posidonia oceanica;123.7930664;124.8029617;1780.65;0.865447308;1.86896902;0.9217996;124.2980141;2.02079705;0.016121292
Santa Maria;SM15;Seagrass;Posidonia oceanica;125.8123839;126.8213555;1803.25;0.952618492;2.780546143;1.034875;126.3168697;2.01885565;0.019902708
Santa Maria;SM15;Seagrass;Posidonia oceanica;127.8298981;128.8380321;1825.65;1.068060046;2.278970394;0.8527584;128.3339651;2.0170954;0.018371648
Santa Maria;SM15;Seagrass;Posidonia oceanica;129.8457773;130.853152;1847.75;0.898997159;2.187669499;0.965969;130.3494647;2.01549955;0.017502666
Santa Maria;SM15;Seagrass;Posidonia oceanica;131.8601741;132.8668604;1869.2;0.511239335;1.472452462;0.8946806;132.3635173;2.0140526;0.009212194
Santa Maria;SM15;Seagrass;Posidonia oceanica;133.873227;134.8792892;1889.95;1.027508056;1.99019053;0.8084354;134.3762581;2.01274085;0.016719313
Santa Maria;SM15;Seagrass;Posidonia oceanica;135.8850614;136.8905576;1912.85;0.589108336;2.227848101;0.922624;136.3878095;2.0115514;0.010933295
Santa Maria;SM25;Seagrass;Posidonia oceanica;1.012817825;2.241792338;;1.355343998;2.730174731;1.60193;1.627305082;1.627305082;0.035331498
Santa Maria;SM25;Seagrass;Posidonia oceanica;2.241792338;3.460254034;;1.356730257;2.064663504;1.2174056;2.851023186;1.223718105;0.020212042
Santa Maria;SM25;Seagrass;Posidonia oceanica;3.460254034;4.668685586;;1.273645779;2.527179096;1.0992383;4.06446981;1.213446624;0.016988741
Santa Maria;SM25;Seagrass;Posidonia oceanica;4.668685586;5.867547502;;1.274268429;2.798489397;1.1624984;5.268116544;1.203646734;0.01783004
Santa Maria;SM25;Seagrass;Posidonia oceanica;5.867547502;7.057279151;;1.410143503;2.566088893;1.0143869;6.462413327;1.194296783;0.017083593
Santa Maria;SM25;Seagrass;Posidonia oceanica;7.057279151;8.238299726;;1.42835941;1.673789174;1.0445141;7.647789439;1.185376112;0.017685119
